SampleID	Species	Site
GF_CC1	C.crambe	GF
GF_CC2	C.crambe	GF
GF_CC3	C.crambe	GF
GF_CC4	C.crambe	GF
GF_CC5	C.crambe	GF
GF_CN1	C.nucula	GF
GF_CN2	C.nucula	GF
GF_CN3	C.nucula	GF
GF_CN4	C.nucula	GF
GF_CN5	C.nucula	GF
GF_CR1	C.reniformis	GF
GF_CR2	C.reniformis	GF
GF_CR3	C.reniformis	GF
GF_CR4	C.reniformis	GF
GF_CR5	C.reniformis	GF
GF_PF1	P.ficiformis	GF
GF_PF2	P.ficiformis	GF
GF_PF3	P.ficiformis	GF
SA_CC2	C.crambe	SA
SA_CC5	C.crambe	SA
SA_CN1	C.nucula	SA
SA_CN2	C.nucula	SA
SA_CN3	C.nucula	SA
SA_CN4	C.nucula	SA
SA_CN5	C.nucula	SA
SA_CR1	C.reniformis	SA
SA_CR2	C.reniformis	SA
SA_CR3	C.reniformis	SA
SA_CR4	C.reniformis	SA
SA_CR5	C.reniformis	SA
SA_PF1	P.ficiformis	SA
SA_PF2	P.ficiformis	SA
SA_PF3	P.ficiformis	SA
SA_PF4	P.ficiformis	SA
SA_PF5	P.ficiformis	SA
