Organism	GF_CC1	GF_CC2	GF_CC3	GF_CC4	GF_CC5	GF_CN1	GF_CN2	GF_CN3	GF_CN4	GF_CN5	GF_CR1	GF_CR2	GF_CR3	GF_CR4	GF_CR5	GF_PF1	GF_PF2	GF_PF3	SA_CC2	SA_CC5	SA_CN1	SA_CN2	SA_CN3	SA_CN4	SA_CN5	SA_CR1	SA_CR2	SA_CR3	SA_CR4	SA_CR5	SA_PF1	SA_PF2	SA_PF3	SA_PF4	SA_PF5
Actinomarinales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003552	0.004547	0.0027	0.003694	0.002558	0.011225	0.010941	0.019039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00341	0.00682	0.005115	0.004263	0.004547	0.01634	0.012646	0.010799	0.00412	0.009662
Alteromonadales	0.0	0.0	0.0	0.000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001421	0.000284	0.0	0.0	0.0	0.0	0.000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Babeliales	0.0	0.0	0.0	0.000142	0.000284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000568	0.000568	0.0	0.0
Bacteroidales	0.0	0.0	0.000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Balneolales	0.000284	0.000142	0.000995	0.001421	0.000426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bdellovibrionales	0.005826	0.004831	0.000426	0.001137	0.003836	0.046746	0.029554	0.019608	0.038221	0.037369	0.018471	0.048025	0.035806	0.036658	0.058539	0.000568	0.005115	0.061949	0.006678	0.004547	0.035379	0.023018	0.058824	0.023018	0.039216	0.045894	0.037511	0.037369	0.035095	0.047741	0.0	0.000284	0.007104	0.0	0.0
Betaproteobacteriales	0.735152	0.346547	0.797101	0.828076	0.820972	0.002842	0.000142	0.001421	0.001137	0.000284	0.000142	0.000853	0.001705	0.002131	0.011225	0.000142	0.000568	0.000568	0.772947	0.789429	0.0	0.001137	0.000284	0.000142	0.000142	0.000284	0.000995	0.000284	0.000568	0.000853	0.0	0.000142	0.002842	0.0	0.000142
Caldilineales	0.0	0.0	0.0	0.0	0.0	0.090651	0.087383	0.142654	0.087525	0.131998	0.005968	0.000284	0.009804	0.001847	0.00952	0.16965	0.176755	0.199488	0.005399	0.0	0.072464	0.153453	0.066354	0.147059	0.088804	0.006252	0.002984	0.0027	0.001989	0.009236	0.250924	0.231458	0.210003	0.22137	0.183717
Campylobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellvibrionales	0.001137	0.00071	0.00412	0.001847	0.00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000853	0.000142	0.002415	0.000995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000142	0.0	0.00071	0.000142	0.000284
