X..Gene.Family	test_data_Abundance.RPKs
UniRef90_A0A014NAY3	11.1330407238
UniRef90_A0A014NAY3|unclassified	11.1330407238
UniRef90_A0A023I6W6	0
UniRef90_A0A023I6W6|unclassified	0
UniRef90_A0A023RLZ6	31.0069621466
UniRef90_A0A023RLZ6|unclassified	31.0069621466
UniRef90_A0A024KZU0	66.2099309131
UniRef90_A0A024KZU0|g__Enterobacter.s__Enterobacter_cloacae_complex	61.9427762521
UniRef90_A0A024KZU0|unclassified	4.2671546610
UniRef90_A0A024L650	87.8633851883
UniRef90_A0A024L650|g__Enterobacter.s__Enterobacter_cloacae_complex	87.8633851883
UniRef90_A0A024L6G8	143.0602695854
UniRef90_A0A024L6G8|g__Enterobacter.s__Enterobacter_cloacae_complex	143.0602695854
UniRef90_A0A024L8N7	31.1839504316
UniRef90_A0A024L8N7|g__Enterobacter.s__Enterobacter_cloacae_complex	23.9351606887
UniRef90_A0A024L8N7|unclassified	7.2487897429
UniRef90_A0A029I7Q0	3.3327106871
UniRef90_A0A029I7Q0|unclassified	3.3327106871
UniRef90_A0A059I5S0	38.5600450651
UniRef90_A0A059I5S0|g__Enterobacter.s__Enterobacter_cloacae_complex	38.5600450651
UniRef90_A0A059XNS5	48.7776256108
UniRef90_A0A059XNS5|unclassified	48.7776256108
UniRef90_A0A060BKM6	6.8088391046
UniRef90_A0A060BKM6|unclassified	6.8088391046
UniRef90_A0A060BRU4	4.2553191489
UniRef90_A0A060BRU4|unclassified	4.2553191489
UniRef90_A0A060BYX3	5.1151229723
UniRef90_A0A060BYX3|unclassified	5.1151229723
UniRef90_A0A060C2G3	2.7587632139
UniRef90_A0A060C2G3|unclassified	2.7587632139
UniRef90_A0A060CBW4	12.7659978204
UniRef90_A0A060CBW4|unclassified	12.7659978204
UniRef90_A0A060CH74	1.3680758943
UniRef90_A0A060CH74|unclassified	1.3680758943
UniRef90_A0A060CNT7	64.5026610493
UniRef90_A0A060CNT7|unclassified	64.5026610493
