X..Pathway	test_data_Abundance
1CMET2-PWY: folate transformations III (E. coli)	460.1014723995
1CMET2-PWY: folate transformations III (E. coli)|unclassified	0
ANAEROFRUCAT-PWY: homolactic fermentation	488.4451191985
ANAEROFRUCAT-PWY: homolactic fermentation|g__Enterobacter.s__Enterobacter_cloacae_complex	161.5792482013
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	711.1976103687
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterobacter.s__Enterobacter_cloacae_complex	188.4947928983
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Roseburia.s__Roseburia_intestinalis	171.2750784908
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	531.4667213070
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	124.0769148002
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	500.9460176475
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillus.s__Bacillus_subtilis_group	204.7556627551
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Enterobacter.s__Enterobacter_cloacae_complex	94.8963469225
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	32.4398677607
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	895.0242013829
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Enterobacter.s__Enterobacter_cloacae_complex	226.0115454886
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	78.8823186997
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Roseburia.s__Roseburia_intestinalis	168.4619169718
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	74.0352906555
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	949.5295996171
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bacillus.s__Bacillus_subtilis_group	90.9435907683
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Enterobacter.s__Enterobacter_cloacae_complex	211.5539994596
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	87.7779186557
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Roseburia.s__Roseburia_intestinalis	208.4561846207
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	96.6618384858
