X..Pathway	test_data_Coverage
1CMET2-PWY: folate transformations III (E. coli)	0.0000000000
1CMET2-PWY: folate transformations III (E. coli)|unclassified	0
ANAEROFRUCAT-PWY: homolactic fermentation	0.0000000000
ANAEROFRUCAT-PWY: homolactic fermentation|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000936398
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.2795200585
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0044989825
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Roseburia.s__Roseburia_intestinalis	0.0032929568
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0000000000
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.0000000415
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillus.s__Bacillus_subtilis_group	0.6945023477
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	0.0000000000
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.9999981962
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0221954394
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0000000000
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Roseburia.s__Roseburia_intestinalis	0.0027560778
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	0.0000000000
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.9999988733
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bacillus.s__Bacillus_subtilis_group	0.0000000000
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0117868130
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0000000015
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Roseburia.s__Roseburia_intestinalis	0.2988672719
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	0.0000000000
ARO-PWY: chorismate biosynthesis I	0.9999999874
ARO-PWY: chorismate biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000298565
ARO-PWY: chorismate biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0000000000
ARO-PWY: chorismate biosynthesis I|g__Roseburia.s__Roseburia_intestinalis	0.9391721793
ARO-PWY: chorismate biosynthesis I|unclassified	0.0000000001
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.1259500000
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	0.3543180762
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	0.6009847113
AST-PWY: L-arginine degradation II (AST pathway)	0.0000000000
AST-PWY: L-arginine degradation II (AST pathway)|unclassified	0.0000000000
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.0000000000
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.9998862165
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Bacillus.s__Bacillus_subtilis_group	0.0000000040
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000091644
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0.2980306774
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|unclassified	0.0000073013
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.9999999995
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0960324381
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Roseburia.s__Roseburia_intestinalis	0.0150899947
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	0.1401215493
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|unclassified	0
CENTFERM-PWY: pyruvate fermentation to butanoate	0.0000000000
CITRULBIO-PWY: L-citrulline biosynthesis	0.0020928210
CITRULBIO-PWY: L-citrulline biosynthesis|g__Bacillus.s__Bacillus_subtilis_group	0.8160516104
CITRULBIO-PWY: L-citrulline biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
CITRULBIO-PWY: L-citrulline biosynthesis|unclassified	0.0000120938
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.9999340328
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0633085053
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Roseburia.s__Roseburia_intestinalis	0.3972481038
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.9999720731
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Bacillus.s__Bacillus_subtilis_group	0.0030173803
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000007807
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.5591804366
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Roseburia.s__Roseburia_intestinalis	0.4026195548
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.0000000000
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.0000000265
COLANSYN-PWY: colanic acid building blocks biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
COLANSYN-PWY: colanic acid building blocks biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.9987395669
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0.0000168353
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.0000000000
DAPLYSINESYN-PWY: L-lysine biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
DAPLYSINESYN-PWY: L-lysine biosynthesis I|unclassified	0.0000000000
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.0000000000
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.0007062817
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0000446723
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0.8742110897
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	0.3698741269
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.0000000000
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.0000000000
FAO-PWY: fatty acid &beta;-oxidation I (generic)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.7873025360
FAO-PWY: fatty acid &beta;-oxidation I (generic)|unclassified	0.0000000172
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.0000000001
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Enterobacter.s__Enterobacter_cloacae_complex	0.7304417395
FASYN-ELONG-PWY: fatty acid elongation -- saturated|unclassified	0.8105972754
FERMENTATION-PWY: mixed acid fermentation	0.0984370278
FERMENTATION-PWY: mixed acid fermentation|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0039048567
FERMENTATION-PWY: mixed acid fermentation|unclassified	0.0006143092
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.0000000000
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.0000000000
GALACTARDEG-PWY: D-galactarate degradation I	0.0000000000
GALACTARDEG-PWY: D-galactarate degradation I|g__Enterobacter.s__Enterobacter_cloacae_complex	0
GALACTARDEG-PWY: D-galactarate degradation I|unclassified	0.0000000000
GALACTUROCAT-PWY: D-galacturonate degradation I	0.0000000000
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Bacillus.s__Bacillus_subtilis_group	0.2840628104
