taxonomy_id	test_data
ti|186801	1120910
ti|91061	650723
ti|526524	287
ti|1737404	66
ti|909932	64
ti|1760	676
ti|3028117	215
ti|31969	28
ti|1236	789584
ti|28216	48
ti|28211	43
ti|117743	260
ti|200643	104
ti|768503	90
ti|117747	53
ti|1853228	40
ti|203490	136
ti|3031852	107
ti|203692	69
ti|1553900	42
ti|67799	19
ti|3024418	13
ti|649775	25
ti|3002443	18
ti|40674	337
ti|224756	16
ti|183963	14
ti|183939	20
ti|1643678	20
ti|186803	645510
ti|1185407	34
ti|3018741	28
ti|2603322	14
ti|216572	472436
ti|31979	1970
ti|543314	12
ti|186806	292
ti|3082771	50
ti|2937909	19
ti|68298	16
ti|31984	12
ti|186807	10
ti|186804	316
ti|3030910	63
ti|3118657	25
ti|3118656	11
ti|186814	55
ti|485255	11
ti|186817	650063
ti|186822	155
ti|90964	55
ti|186823	28
ti|186818	23
ti|186820	22
ti|1300	236
ti|33958	88
ti|81852	34
ti|186828	15
ti|128827	189
ti|2810280	84
ti|2810281	13
ti|1570339	32
ti|2992719	20
ti|1737406	14
ti|909930	37
ti|1843491	13
ti|31953	510
ti|1762	29
ti|1653	11
ti|2062	36
ti|2049	26
ti|85019	12
ti|2070	15
ti|31957	10
ti|1892263	47
ti|1892259	12
ti|1890500	29
ti|1890436	21
ti|1890438	17
ti|2881426	11
ti|2895623	67
ti|2790998	10
ti|2131	12
ti|543	789311
ti|1903414	60
ti|1903409	23
ti|135620	50
ti|2066474	11
ti|403	36
ti|32033	27
ti|34064	14
ti|267888	10
ti|712	11
ti|641	11
ti|119060	48
ti|41294	12
ti|2854170	13
ti|49546	192
ti|2762318	55
ti|39782	12
ti|815	47
ti|2005473	17
ti|171552	13
ti|2005525	13
ti|1471398	14
ti|563798	34
ti|1937968	31
ti|2896860	14
ti|1853232	11
ti|84566	53
ti|563835	40
ti|203492	80
ti|1129771	56
ti|72293	42
ti|2808963	31
ti|72294	22
ti|2771471	12
ti|1643685	24
ti|2845253	15
ti|2791015	14
ti|170	58
ti|188711	19
ti|213119	13
ti|3029088	25
ti|227387	18
ti|9604	337
ti|88404	15
ti|1963268	14
ti|196117	20
ti|338190	20
ti|841	621954
ti|1766253	7227
ti|207244	3463
ti|2719313	2263
ti|2944193	2057
ti|2944152	1604
ti|572511	1540
ti|2569097	1497
ti|2316020	989
ti|830	650
ti|189330	402
ti|28050	321
ti|1506553	301
ti|33042	294
ti|2944195	161
ti|2719231	148
ti|248744	128
ti|1769710	90
ti|3024823	88
ti|1843210	85
ti|46205	46
ti|2163168	36
ti|3031933	28
ti|1663717	27
ti|2888809	24
ti|2944198	24
ti|3076670	21
ti|1164882	15
ti|1185408	34
ti|698776	28
ti|1348611	12
ti|216851	470773
ti|2892396	358
ti|1905344	299
ti|292632	268
ti|1263	344
ti|459786	56
ti|2591381	113
ti|2892397	50
ti|946234	41
ti|2304687	36
ti|1508657	33
ti|2842531	27
ti|244127	25
ti|35829	20
ti|1485	1490
ti|1649459	46
ti|1434026	28
ti|1266	22
ti|1848399	17
ti|2717089	324
ti|1392389	25
ti|415014	17
ti|2886866	12
ti|1730	292
ti|1918385	50
ti|36853	19
ti|2293313	16
ti|79598	12
ti|51514	10
ti|1870884	212
ti|1849822	50
ti|1501226	32
ti|1505652	22
ti|1926556	38
ti|86331	25
ti|390805	25
ti|114627	11
ti|28895	55
ti|375928	11
ti|1386	649864
ti|1329200	36
ti|2837504	36
ti|2837508	30
ti|1494427	20
ti|289201	19
ti|2675232	16
ti|400634	15
ti|1221880	14
ti|44249	85
ti|55080	44
ti|329857	26
ti|1279	55
ti|432330	17
ti|29330	11
ti|648800	12
ti|651660	11
ti|2755	12
ti|1301	236
ti|2767887	26
ti|2767879	24
ti|1578	18
ti|2742598	10
ti|1350	17
ti|2747	15
ti|2749267	101
ti|2679910	47
ti|123375	29
ti|135858	70
ti|191303	13
ti|150022	31
ti|1354809	20
ti|33024	37
ti|864	11
ti|1678	510
ti|1866885	29
ti|1716	11
ti|1883	25
ti|2063	11
ti|1069494	26
ti|1696	12
ti|1835	15
ti|203133	10
ti|1190	47
ti|752201	12
ti|44474	29
ti|1152	21
ti|1874526	17
ti|1218	11
ti|2895509	58
ti|2995234	10
ti|2132	12
ti|547	788680
ti|570	160
ti|561	209
ti|544	70
ti|1330547	33
ti|2815296	32
ti|158851	27
ti|83654	22
ti|1903434	12
ti|579	11
ti|586	38
ti|583	22
ti|32199	11
ti|53335	11
ti|515417	36
ti|28253	10
ti|305899	11
ti|416	36
ti|68	15
ti|40323	12
ti|262	14
ti|53246	10
ti|2042066	11
ti|106589	22
ti|44013	11
ti|33055	15
ti|374	12
ti|302485	13
ti|237	34
ti|104267	32
ti|291183	18
ti|261827	22
ti|52959	14
ti|2861660	19
ti|2913017	12
ti|112040	13
ti|1386924	13
ti|76831	11
ti|308865	15
ti|501783	14
ti|1778601	10
ti|34098	12
ti|816	39
ti|1918540	17
ti|2974251	13
ti|375288	13
ti|1471399	14
ti|246875	34
ti|1937972	31
ti|105	14
ti|89966	11
ti|84567	27
ti|28453	15
ti|423349	11
ti|79328	30
ti|1769012	10
ti|848	62
ti|167639	18
ti|32067	31
ti|34104	25
