id	superkingdom	phylum	class	order	family	genus	species
ti|186801	Bacteria	Bacillota	Clostridia				
ti|91061	Bacteria	Bacillota	Bacilli				
ti|526524	Bacteria	Bacillota	Erysipelotrichia				
ti|1737404	Bacteria	Bacillota	Tissierellia				
ti|909932	Bacteria	Bacillota	Negativicutes				
ti|1760	Bacteria	Actinomycetota	Actinomycetes				
ti|3028117	Bacteria	Cyanobacteriota	Cyanophyceae				
ti|31969	Bacteria	Mycoplasmatota	Mollicutes				
ti|1236	Bacteria	Pseudomonadota	Gammaproteobacteria				
ti|28216	Bacteria	Pseudomonadota	Betaproteobacteria				
ti|28211	Bacteria	Pseudomonadota	Alphaproteobacteria				
ti|117743	Bacteria	Bacteroidota	Flavobacteriia				
ti|200643	Bacteria	Bacteroidota	Bacteroidia				
ti|768503	Bacteria	Bacteroidota	Cytophagia				
ti|117747	Bacteria	Bacteroidota	Sphingobacteriia				
ti|1853228	Bacteria	Bacteroidota	Chitinophagia				
ti|203490	Bacteria	Fusobacteriota	Fusobacteriia				
ti|3031852	Bacteria	Campylobacterota	Epsilonproteobacteria				
ti|203692	Bacteria	Spirochaetota	Spirochaetia				
ti|1553900	Bacteria	Bdellovibrionota	Oligoflexia				
ti|67799	Bacteria	Thermodesulfobacteriota	Thermodesulfobacteria				
ti|3024418	Bacteria	Thermodesulfobacteriota	Desulfobacteria				
ti|649775	Bacteria	Synergistota	Synergistia				
ti|3002443	Bacteria	Thermodesulfobiota	Thermodesulfobiia				
ti|40674	Eukaryota	Chordata	Mammalia				
ti|224756	Archaea	Methanobacteriota	Methanomicrobia				
ti|183963	Archaea	Methanobacteriota	Halobacteria				
ti|183939	Archaea	Methanobacteriota	Methanococci				
ti|1643678	Archaea	Nitrososphaerota	Nitrososphaeria				
ti|186803	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		
ti|1185407	Bacteria	Bacillota	Clostridia	Lachnospirales	Defluviitaleaceae		
ti|3018741	Bacteria	Bacillota	Clostridia	Lachnospirales	Cellulosilyticaceae		
ti|2603322	Bacteria	Bacillota	Clostridia	Lachnospirales	Vallitaleaceae		
ti|216572	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae		
ti|31979	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae		
ti|543314	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis		
ti|186806	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae		
ti|3082771	Bacteria	Bacillota	Clostridia	Eubacteriales	Acutalibacteraceae		
ti|2937909	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae		
ti|68298	Bacteria	Bacillota	Clostridia	Eubacteriales	Syntrophomonadaceae		
ti|31984	Bacteria	Bacillota	Clostridia	Eubacteriales	Heliobacteriaceae		
ti|186807	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptococcaceae		
ti|186804	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae		
ti|3030910	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae		
ti|3118657	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Thermotaleaceae		
ti|3118656	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae		
ti|186814	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae		
ti|485255	Bacteria	Bacillota	Clostridia	Natranaerobiales	Natranaerobiaceae		
ti|186817	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae		
ti|186822	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae		
ti|90964	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae		
ti|186823	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae		
ti|186818	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae		
ti|186820	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae		
ti|1300	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae		
ti|33958	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae		
ti|81852	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae		
ti|186828	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae		
ti|128827	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae		
ti|2810280	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae		
ti|2810281	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae		
ti|1570339	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae		
ti|2992719	Bacteria	Bacillota	Tissierellia	Tissierellales	Tepidimicrobiaceae		
ti|1737406	Bacteria	Bacillota	Tissierellia	Tissierellales	Tissierellaceae		
ti|909930	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae		
ti|1843491	Bacteria	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae		
ti|31953	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae		
ti|1762	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae		
ti|1653	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae		
ti|2062	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae		
ti|2049	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae		
ti|85019	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae		
ti|2070	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae		
ti|31957	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae		
ti|1892263	Bacteria	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae		
ti|1892259	Bacteria	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae		
ti|1890500	Bacteria	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Hyellaceae		
ti|1890436	Bacteria	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae		
ti|1890438	Bacteria	Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae		
ti|2881426	Bacteria	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae		
ti|2895623	Bacteria	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae		
ti|2790998	Bacteria	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae		
ti|2131	Bacteria	Mycoplasmatota	Mollicutes	Entomoplasmatales	Spiroplasmataceae		
ti|543	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
ti|1903414	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae		
ti|1903409	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae		
ti|135620	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae		
ti|2066474	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae		
ti|403	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae		
ti|32033	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae		
ti|34064	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Francisellaceae		
ti|267888	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae		
ti|712	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae		
ti|641	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae		
ti|119060	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae		
ti|41294	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae		
ti|2854170	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae		
ti|49546	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
ti|2762318	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae		
ti|39782	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Blattabacteriaceae		
ti|815	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae		
ti|2005473	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
ti|171552	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae		
ti|2005525	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae		
ti|1471398	Bacteria	Bacteroidota	Bacteroidia	Marinilabiliales	Prolixibacteraceae		
ti|563798	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae		
ti|1937968	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Bernardetiaceae		
ti|2896860	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Spirosomataceae		
ti|1853232	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae		
ti|84566	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae		
ti|563835	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae		
ti|203492	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae		
ti|1129771	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae		
ti|72293	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae		
ti|2808963	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae		
ti|72294	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae		
ti|2771471	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae		
ti|1643685	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Borreliaceae		
ti|2845253	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae		
ti|2791015	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Sphaerochaetaceae		
ti|170	Bacteria	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae		
ti|188711	Bacteria	Thermodesulfobacteriota	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae		
ti|213119	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae		
ti|3029088	Bacteria	Synergistota	Synergistia	Synergistales	Dethiosulfovibrionaceae		
ti|227387	Bacteria	Thermodesulfobiota	Thermodesulfobiia	Thermodesulfobiales	Thermodesulfobiaceae		
ti|9604	Eukaryota	Chordata	Mammalia	Primates	Hominidae		
ti|88404	Archaea	Methanobacteriota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae		
ti|1963268	Archaea	Methanobacteriota	Halobacteria	Halobacteriales	Haloarculaceae		
ti|196117	Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanocaldococcaceae		
ti|338190	Archaea	Nitrososphaerota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae		
ti|841	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	
ti|1766253	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	
ti|207244	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	
ti|2719313	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	
ti|2944193	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Simiaoa	
ti|2944152	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Wujia	
ti|572511	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
ti|2569097	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	
ti|2316020	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	
ti|830	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio	
ti|189330	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
ti|28050	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	
ti|1506553	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	
ti|33042	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	
ti|2944195	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Qiania	
ti|2719231	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora	
ti|248744	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia	
ti|1769710	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	
ti|3024823	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaeromicropila	
ti|1843210	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	
ti|46205	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Pseudobutyrivibrio	
ti|2163168	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	
ti|3031933	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Chordicoccus	
ti|1663717	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Herbinix	
ti|2888809	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Novisyntrophococcus	
ti|2944198	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Wansuia	
ti|3076670	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Claveliimonas	
ti|1164882	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoanaerobaculum	
ti|1185408	Bacteria	Bacillota	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitalea	
ti|698776	Bacteria	Bacillota	Clostridia	Lachnospirales	Cellulosilyticaceae	Cellulosilyticum	
ti|1348611	Bacteria	Bacillota	Clostridia	Lachnospirales	Vallitaleaceae	Vallitalea	
ti|216851	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	
ti|2892396	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Vescimonas	
ti|1905344	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruthenibacterium	
ti|292632	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Subdoligranulum	
ti|1263	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	
ti|459786	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillibacter	
ti|2591381	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Dysosmobacter	
ti|2892397	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Pusillibacter	
ti|946234	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	
ti|2304687	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Petroclostridium	
ti|1508657	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminiclostridium	
ti|2842531	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Solibaculum	
ti|244127	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Anaerotruncus	
ti|35829	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	
ti|1485	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	
ti|1649459	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	
ti|1434026	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Oceanirhabdus	
ti|1266	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Sarcina	
ti|1848399	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Crassaminicella	
ti|2717089	Bacteria	Bacillota	Clostridia	Eubacteriales		Massilistercora	
ti|1392389	Bacteria	Bacillota	Clostridia	Eubacteriales		Intestinimonas	
ti|415014	Bacteria	Bacillota	Clostridia	Eubacteriales		Proteiniborus	
ti|2886866	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis	Sinanaerobacter	
ti|1730	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	
ti|1918385	Bacteria	Bacillota	Clostridia	Eubacteriales	Acutalibacteraceae	Acutalibacter	
ti|36853	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfitobacterium	
ti|2293313	Bacteria	Bacillota	Clostridia	Eubacteriales	Syntrophomonadaceae	Candidatus Syntrophocurvum	
ti|79598	Bacteria	Bacillota	Clostridia	Eubacteriales	Heliobacteriaceae	Heliorestis	
ti|51514	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Dehalobacterium	
ti|1870884	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	
ti|1849822	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	
ti|1501226	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia	
ti|1505652	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	
ti|1926556	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia	
ti|86331	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Mogibacterium	
ti|390805	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Thermotaleaceae	Geosporobacter	
ti|114627	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Alkaliphilus	
ti|28895	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacterium	
ti|375928	Bacteria	Bacillota	Clostridia	Natranaerobiales	Natranaerobiaceae	Natranaerobius	
ti|1386	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	
ti|1329200	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Fictibacillus	
ti|2837504	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	
ti|2837508	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Rossellomorea	
