	gene_length	count	rel_abundance
PJPBKL_17935	9965	10059	0.00019565026353067448
PJPBKL_32005	7379	7694	0.00020209594691744133
PJPBKL_22825	6491	6696	0.00019994325959128793
PJPBKL_72605	2444	6507	6.653707288348094e-05
PJPBKL_70825	1751	5940	6.5972515791642e-05
PJPBKL_69325	1928	5360	6.795831442168713e-05
APJOLJ_45660	1550	5131	0.0006416131385588096
APJOLJ_21105	1532	5118	0.0006475069709986323
PJPBKL_16890	2321	4904	0.00040952295769102197
PJPBKL_09700	1805	4735	0.0005084470234069855
PJPBKL_39985	3728	4650	0.00024175751408393124
PJPBKL_29205	2612	4593	0.00034082088898508014
PJPBKL_46280	2357	4390	0.000361000555188753
PJPBKL_58145	1814	4389	0.00024810062868684045
PJPBKL_06025	1727	4222	0.0004738368401660745
PJPBKL_39990	3818	4022	0.00020417806058988774
PJPBKL_02255	1733	3969	0.0004439003304148975
PJPBKL_27245	1940	3918	0.00010410436060637415
PJPBKL_70940	1091	3846	0.0001257799562113216
PJPBKL_68250	3824	3816	0.00019341645294679232
PJPBKL_50885	2108	3765	9.65431855226521e-05
PJPBKL_53355	2624	3763	0.0002779542505127133
PJPBKL_19140	1907	3716	0.00015794404400681222
PJPBKL_61895	4028	3700	0.0001780390196724068
PJPBKL_40710	2126	3641	0.0003319405817912709
PJPBKL_19695	1805	3615	0.0003881807792220175
PJPBKL_03335	2303	3575	0.00030087426355571763
APJOLJ_38645	2882	3417	0.00022980206895817782
PJPBKL_40725	3575	3414	0.00018509317396446132
PJPBKL_63925	3176	3343	0.00020401345696242424
PJPBKL_13120	3224	3328	0.00020007425875932474
PJPBKL_16270	1508	3254	0.00041823381088544685
PJPBKL_30965	2099	3233	0.0002985356484581319
PJPBKL_58205	2192	3229	0.00028551598465370733
PJPBKL_73280	1856	3219	0.00010787611106293535
PJPBKL_14240	3743	3211	0.00016627364239214822
CAAFCJ_20525	3482	3209	0.0001786256747838784
PJPBKL_09920	1706	3199	0.0003634445370549435
PJPBKL_14710	3152	3187	0.0001959741487809824
PJPBKL_76945	893	3186	5.3176231637635485e-05
PJPBKL_42690	2030	3079	9.280538123362028e-05
PJPBKL_42485	2459	3043	0.00023985366322111862
PJPBKL_49160	1967	2933	8.316508175805434e-05
PJPBKL_48560	779	2887	7.588663818073714e-05
PJPBKL_53120	887	2839	0.00012040122653142707
PJPBKL_55575	2294	2825	6.767714580499119e-05
PJPBKL_52815	1742	2789	8.233538131348504e-05
PJPBKL_35110	1835	2762	0.00029173634508669795
APJOLJ_63195	2009	2759	8.605732645614808e-05
PJPBKL_58220	6326	2726	8.352175204866571e-05
PJPBKL_10495	1880	2702	0.00027856748773601327
PJPBKL_58960	1025	2671	8.282342333640584e-05
PJPBKL_25915	1913	2633	0.0002667711255670473
PJPBKL_20000	2123	2606	8.600106724402085e-05
PJPBKL_01055	1724	2565	0.0002883719671774889
PJPBKL_08430	2855	2554	0.0001733874711362826
PJPBKL_11395	1739	2553	0.00028454710072220457
PJPBKL_07710	1922	2547	0.00025684936343750006
PJPBKL_44025	2708	2542	0.00018194068199261804
PJPBKL_10210	3077	2534	0.0001596180667307848
PJPBKL_53295	1097	2519	9.929619804309923e-05
PJPBKL_48795	1505	2497	8.628617845579682e-05
PJPBKL_63780	3464	2488	0.00013921159993494876
PJPBKL_11700	2159	2480	0.00022263937316779883
PJPBKL_40700	1256	2474	6.342421702957197e-05
PJPBKL_46400	2180	2473	6.70374960470249e-05
PJPBKL_09950	1112	2451	7.076592346967348e-05
PJPBKL_08185	755	2434	6.982724130209546e-05
PJPBKL_44600	2705	2424	0.00017368738563089994
PJPBKL_06685	1526	2411	0.00017375387380130742
PJPBKL_27045	1613	2409	6.32054181519209e-05
PJPBKL_55695	3077	2376	0.00014966555901828915
PJPBKL_06770	1814	2322	6.571140682274198e-05
APJOLJ_69110	2552	2321	0.00017627771101087596
PJPBKL_22160	878	2310	6.799220610172382e-05
PJPBKL_06355	1007	2298	7.102313325310067e-05
PJPBKL_48885	2183	2283	0.00010521255003899156
PJPBKL_55280	1739	2282	0.00024531459799826565
PJPBKL_03310	920	2275	9.733232112605466e-05
CAAFCJ_50335	1883	2263	0.00023293629638115556
PJPBKL_01460	2336	2260	0.00018751608744486156
PJPBKL_76290	1754	2260	6.585967796531649e-05
PJPBKL_18130	1457	2250	7.037186361946994e-05
PJPBKL_10585	3494	2242	0.00012437000154095045
PJPBKL_28110	1616	2238	0.0002684241940788295
PJPBKL_67195	1925	2238	0.00019170751702938935
PJPBKL_50740	1931	2227	6.945871632096444e-05
PJPBKL_60000	2498	2225	7.774602964349161e-05
PJPBKL_73375	1421	2214	0.00010025272664125649
PJPBKL_13810	1739	2201	6.587048042570423e-05
PJPBKL_37340	1616	2192	0.00026290698544271417
PJPBKL_72100	1475	2189	8.173372579231568e-05
PJPBKL_64670	2708	2172	0.00015545836399998678
PJPBKL_02900	3083	2147	0.00013497752230218514
PJPBKL_46165	3122	2136	0.0001326084753163782
PJPBKL_17790	2678	2135	0.00015452197087362197
PJPBKL_24760	1568	2133	0.0002636621135989882
PJPBKL_18975	2660	2110	0.00015374597351324522
PJPBKL_03215	3050	2102	0.00013357826689831064
PJPBKL_13360	2057	2093	0.00019721405765497793
PJPBKL_62905	2369	2089	0.00017091347777272993
PJPBKL_32455	2303	2078	0.0001748857957115472
PJPBKL_09415	5633	2068	7.115635862630254e-05
PJPBKL_70470	2450	2065	0.00016336420503160936
APJOLJ_23795	3326	2055	0.00011975468519113407
PJPBKL_31875	2207	2032	0.00011609995571582815
CAAFCJ_71755	2306	2016	0.00016944710639937608
PJPBKL_47475	3089	2013	0.00012630740095255483
PJPBKL_46910	1838	2006	8.288576899023576e-05
PJPBKL_59980	1697	1989	0.0001978194442638786
PJPBKL_70345	3926	1989	9.819455808107174e-05
PJPBKL_42130	2186	1986	0.00017608891546741463
PJPBKL_64580	2477	1980	0.000154932352677727
PJPBKL_63255	1133	1979	7.013856544657484e-05
PJPBKL_70885	1640	1979	7.138320161984749e-05
PJPBKL_04165	1487	1962	0.00016996893569449698
PJPBKL_14355	2030	1961	0.00018723390185095614
